instance;constructor;strategy;value;best_time
1;Savings;-;28148;0.58
1;Savings;D;28148;1.15
1;Savings;I;28148;1.87
1;Savings;D+I;28148;2.63
2;Savings;-;20873;6.84
2;Savings;D;20873;13.81
2;Savings;I;20873;29.09
2;Savings;D+I;20873;26.94
3;Savings;-;23178;805.14
3;Savings;D;23134;996.92
3;Savings;I;23173;434.38
3;Savings;D+I;23173;355.43
4;Savings;-;68131;402.35
4;Savings;D;68131;410.86
4;Savings;I;68100;758.84
4;Savings;D+I;68100;585.22
5;Savings;-;70442;451.96
5;Savings;D;70442;450.55
5;Savings;I;70442;485.46
5;Savings;D+I;70442;385.5
6;Savings;-;62068;1154.92
6;Savings;D;62068;1102.89
6;Savings;I;62004;1474.05
6;Savings;D+I;62004;1116.73
7;Savings;-;85174;1517.04
7;Savings;D;85174;1418.65
7;Savings;I;85174;1662.41
7;Savings;D+I;85174;1321.37
8;Savings;-;76400;1802.66
8;Savings;D;76298;1773.45
8;Savings;I;76235;1620.42
8;Savings;D+I;76181;1801.78
